contigs_cluasted1418;size=1	lysogenic	medium quality draft
contigs_cluasted485;size=3	lysogenic	low quality draft
contigs_cluasted534;size=1	lytic	low quality draft
contigs_cluasted6667;size=1	lytic	low quality draft
contigs_cluasted1868;size=2	lytic	medium quality draft
contigs_cluasted6697;size=3	lytic	low quality draft
contigs_cluasted539;size=1	lysogenic	medium quality draft
contigs_cluasted3703;size=1	lytic	low quality draft
contigs_cluasted8195;size=1	lytic	low quality draft
contigs_cluasted701;size=2	lytic	high quality draft
contigs_cluasted7793;size=1	lytic	low quality draft
contigs_cluasted4462;size=2	lytic	low quality draft
contigs_cluasted565;size=1	lysogenic	high quality draft
contigs_cluasted6180;size=1	lytic	low quality draft
contigs_cluasted962;size=1	lysogenic	low quality draft
contigs_cluasted3617;size=1	lytic	low quality draft
contigs_cluasted100000547;size=1	lytic	low quality draft
contigs_cluasted762;size=1	lysogenic	medium quality draft
contigs_cluasted150;size=1	lytic	medium quality draft
contigs_cluasted509;size=2	lysogenic	medium quality draft
contigs_cluasted47;size=1	lysogenic	medium quality draft
contigs_cluasted761;size=2	lytic	low quality draft
contigs_cluasted1619;size=1	lytic	medium quality draft
contigs_cluasted1095;size=1	lytic	low quality draft
contigs_cluasted5680;size=3	lytic	low quality draft
contigs_cluasted169;size=1	lytic	medium quality draft
contigs_cluasted757;size=1	lysogenic	low quality draft
contigs_cluasted684;size=2	lytic	low quality draft
contigs_cluasted6414;size=1	lytic	low quality draft
contigs_cluasted247;size=1	lytic	medium quality draft
contigs_cluasted80;size=1	lytic	medium quality draft
contigs_cluasted4369;size=2	lytic	low quality draft
contigs_cluasted5194;size=1	lytic	low quality draft
contigs_cluasted7570;size=1	lytic	low quality draft
contigs_cluasted100000532;size=1	lytic	low quality draft
contigs_cluasted8636;size=1	lytic	low quality draft
contigs_cluasted601;size=3	lytic	medium quality draft
contigs_cluasted1352;size=1	lytic	low quality draft
contigs_cluasted53;size=1	lytic	medium quality draft
contigs_cluasted196;size=3	lysogenic	medium quality draft
contigs_cluasted2621;size=6	lytic	medium quality draft
contigs_cluasted1925;size=2	lytic	medium quality draft
contigs_cluasted8437;size=1	lytic	low quality draft
contigs_cluasted423;size=2	lysogenic	medium quality draft
contigs_cluasted686;size=1	lysogenic	low quality draft
contigs_cluasted380;size=1	lysogenic	high quality draft
contigs_cluasted782;size=1	lysogenic	medium quality draft
contigs_cluasted413;size=2	lysogenic	low quality draft
contigs_cluasted6752;size=2	lytic	low quality draft
contigs_cluasted843;size=1	lysogenic	medium quality draft
contigs_cluasted287;size=1	lysogenic	medium quality draft
contigs_cluasted100000230;size=1	lytic	low quality draft
contigs_cluasted392;size=1	lysogenic	medium quality draft
contigs_cluasted5981;size=1	lytic	low quality draft
contigs_cluasted5024;size=3	lytic	low quality draft
contigs_cluasted5736;size=1	lytic	low quality draft
contigs_cluasted6054;size=1	lytic	low quality draft
contigs_cluasted664;size=1	lytic	medium quality draft
contigs_cluasted100000792;size=1	lytic	low quality draft
contigs_cluasted5778;size=1	lytic	low quality draft
contigs_cluasted8198;size=1	lytic	low quality draft
contigs_cluasted713;size=1	lytic	low quality draft
