contigsID	family (ICTV taxonomic)	genus (ICTV taxonomic)	species (ICTV taxonomic)	viral_genome	viral_type	Family level (Host)
contigs_cluasted1000002977;size=1	crAss-like phage	crAss-like phage	CrAssphage sp. C0521BW15	DNA virus	Bacteriophage	No host predicted
contigs_cluasted5551;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1000003478;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Bifidobacteriaceae
contigs_cluasted8471;size=1	Other phage	Other phage	Virus sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1000003580;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8357;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted19;size=2	Other phage	Other phage	Bacteroides phage DAC22	DNA virus	Bacteriophage	No host predicted
contigs_cluasted83;size=1	crAss-like phage	crAss-like phage	CrAss-like virus sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted380;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted67;size=1	crAss-like phage	crAss-like phage	UAG-readthrough crAss clade sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted182;size=2	Other phage	Other phage	uncultured human fecal virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted90;size=2	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted79;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted70;size=2	crAss-like phage	crAss-like phage	CrAssphage sp. C0526BW15	DNA virus	Bacteriophage	Porphyromonadaceae
contigs_cluasted77;size=4	crAss-like phage	crAss-like phage	uncultured crAssphage	DNA virus	Bacteriophage	Porphyromonadaceae
contigs_cluasted1000007;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted57;size=4	crAss-like phage	crAss-like phage	crAssphage cr10_1	DNA virus	Bacteriophage	Tannerellaceae
contigs_cluasted91;size=1	crAss-like phage	crAss-like phage	CrAss-like virus sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted288;size=5	Other phage	Other phage	Caudovirales sp. ct0YK8	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted835;size=1	Other phage	Other phage	Toutatisvirus toutatis	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1000003;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted855;size=1	Other phage	Other phage	Lagaffevirus lagaffe	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted127;size=1	crAss-like phage	crAss-like phage	crAssphage cr85_1	DNA virus	Bacteriophage	Porphyromonadaceae
contigs_cluasted89;size=8	crAss-like phage	crAss-like phage	CrAss-like virus sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted84;size=4	crAss-like phage	crAss-like phage	CrAss-like virus sp.	DNA virus	Bacteriophage	Rikenellaceae
contigs_cluasted10000014;size=2	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Oscillospiraceae
contigs_cluasted880;size=7	Other phage	Other phage	Mushuvirus mushu	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted78;size=2	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1000001;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Rikenellaceae
contigs_cluasted64;size=2	crAss-like phage	crAss-like phage	crAssphage cr10_1	DNA virus	Bacteriophage	Tannerellaceae
contigs_cluasted500;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted444;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted772;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted276;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Pseudomonadaceae
contigs_cluasted59;size=1	crAss-like phage	crAss-like phage	crAssphage cr1_1	DNA virus	Bacteriophage	Tannerellaceae
contigs_cluasted569;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Actinomycetaceae
contigs_cluasted43;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted980;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Paenibacillaceae
contigs_cluasted1138;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Clostridiaceae
contigs_cluasted66;size=2	crAss-like phage	crAss-like phage	crAssphage cr10_1	DNA virus	Bacteriophage	Tannerellaceae
contigs_cluasted74;size=2	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted55;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted386;size=5	Other phage	Other phage	Toutatisvirus toutatis	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted63;size=2	crAss-like phage	crAss-like phage	crAssphage cr50_1	DNA virus	Bacteriophage	Tannerellaceae
contigs_cluasted411;size=3	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted53;size=1	crAss-like phage	crAss-like phage	CrAss-like virus sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted328;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted761;size=2	Other phage	Other phage	virus sp. ctvdG25	DNA virus	Bacteriophage	No host predicted
contigs_cluasted601;size=3	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted964;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted384;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted427;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted1000004;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted698;size=1	Other phage	Other phage	uncultured human fecal virus	DNA virus	Bacteriophage	Mycobacteriaceae
contigs_cluasted203;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted188;size=2	Other phage	Other phage	uncultured human fecal virus	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted80;size=1	crAss-like phage	crAss-like phage	crAssphage cr118_1	DNA virus	Bacteriophage	Tannerellaceae
contigs_cluasted1561;size=2	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted72;size=1	crAss-like phage	crAss-like phage	CrAss-like virus sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted449;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted61;size=1	crAss-like phage	crAss-like phage	CrAss-like virus sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1380;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted65;size=2	crAss-like phage	crAss-like phage	UAG-readthrough crAss clade sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted973;size=3	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted1143;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted148;size=1	Other phage	Other phage	Bacteroides phage SJC03	DNA virus	Bacteriophage	Peptostreptococcaceae
contigs_cluasted1000009;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted2099;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted234;size=1	crAss-like phage	crAss-like phage	crAssphage cr8_1	DNA virus	Bacteriophage	No host predicted
contigs_cluasted300;size=2	Other phage	Other phage	uncultured human fecal virus	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1003;size=3	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted3960;size=1	Other phage	Other phage	uncultured human fecal virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted3066;size=1	Other phage	Other phage	uncultured human fecal virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted267;size=2	crAss-like phage	crAss-like phage	CrAss-like virus sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted932;size=1	crAss-like phage	crAss-like phage	CrAss-like virus sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted664;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Acidaminococcaceae
contigs_cluasted1086;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted209;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Barnesiellaceae
contigs_cluasted661;size=2	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Neisseriaceae
contigs_cluasted82;size=1	Other phage	Other phage	uncultured human fecal virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1878;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Bifidobacteriaceae
contigs_cluasted88;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted723;size=1	Other phage	Other phage	uncultured human fecal virus	NA	Bacteriophage	No host predicted
contigs_cluasted269;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted2050;size=2	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted2444;size=2	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted403;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Sutterellaceae
contigs_cluasted1678;size=1	Other phage	Other phage	uncultured human fecal virus	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted202;size=1	crAss-like phage	crAss-like phage	CrAss-like virus sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted1118;size=1	Other phage	Other phage	uncultured human fecal virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1320;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted2455;size=3	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted607;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted567;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted316;size=2	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Clostridiaceae
contigs_cluasted1060;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted729;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted437;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Corynebacteriaceae
contigs_cluasted130;size=1	Other phage	Other phage	Phage DP-2017a	DNA virus	Bacteriophage	No host predicted
contigs_cluasted699;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted10000012;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted2460;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted139;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1029;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted938;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8482;size=6	Other phage	Other phage	uncultured virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted736;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted405;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted2009;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Bifidobacteriaceae
contigs_cluasted8586;size=2	Other phage	Other phage	uncultured virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted353;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted757;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Rikenellaceae
contigs_cluasted40;size=1	Other phage	Other phage	uncultured human fecal virus	NA	Bacteriophage	No host predicted
contigs_cluasted563;size=1	Other phage	Other phage	uncultured human fecal virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8637;size=2	Other phage	Other phage	uncultured virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8857;size=1	Other phage	Other phage	uncultured virus	NA	Bacteriophage	No host predicted
contigs_cluasted2560;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted7844;size=1	Other phage	Other phage	uncultured human fecal virus	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted342;size=2	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted815;size=1	Other phage	Other phage	Roufvirus pIS4A	DNA virus	Bacteriophage	Enterobacteriaceae
contigs_cluasted8968;size=1	Other phage	Other phage	uncultured marine virus	NA	Bacteriophage	No host predicted
contigs_cluasted9342;size=1	Other phage	Other phage	uncultured virus	NA	Bacteriophage	No host predicted
contigs_cluasted9020;size=1	Other phage	Other phage	uncultured human fecal virus	NA	Bacteriophage	No host predicted
contigs_cluasted9481;size=1	Other phage	Other phage	uncultured virus	NA	Bacteriophage	No host predicted
contigs_cluasted844;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted9949;size=1	Other phage	Other phage	uncultured virus	NA	Bacteriophage	No host predicted
contigs_cluasted1963;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Bifidobacteriaceae
contigs_cluasted1201;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted8792;size=1	Other phage	Other phage	uncultured virus	NA	Bacteriophage	No host predicted
contigs_cluasted8815;size=1	Other phage	Other phage	uncultured virus	NA	Bacteriophage	No host predicted
contigs_cluasted3617;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted9206;size=1	Other phage	Other phage	uncultured virus	NA	Bacteriophage	No host predicted
contigs_cluasted3728;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8571;size=1	Other phage	Other phage	uncultured virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8691;size=1	Other phage	Other phage	uncultured marine virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted7908;size=1	Other phage	Other phage	uncultured human fecal virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8864;size=1	Other phage	Other phage	uncultured marine virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8980;size=1	Other phage	Other phage	uncultured marine virus	NA	Bacteriophage	No host predicted
contigs_cluasted1179;size=2	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Bacillaceae
contigs_cluasted10039;size=1	Other phage	Other phage	uncultured virus	NA	Bacteriophage	No host predicted
contigs_cluasted8808;size=1	Other phage	Other phage	uncultured marine virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted2168;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted547;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted8733;size=1	Other phage	Other phage	uncultured virus	NA	Bacteriophage	No host predicted
contigs_cluasted100000380;size=1	Other phage	Other phage	uncultured human fecal virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted201;size=1	Other phage	Other phage	Phage DP-2017a	DNA virus	Bacteriophage	No host predicted
contigs_cluasted399;size=2	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted10;size=2	Other phage	Other phage	uncultured human fecal virus	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1000002918;size=1	Other phage	Other phage	uncultured human fecal virus	NA	Bacteriophage	No host predicted
contigs_cluasted8791;size=1	Other phage	Other phage	uncultured virus	NA	Bacteriophage	No host predicted
contigs_cluasted2559;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted4125;size=1	unclassified CRESS virus	unclassified CRESS virus	CRESS virus sp.	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted271;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted8395;size=1	Other phage	Other phage	uncultured virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted242;size=1	Other phage	Other phage	Phage FAKO27_000271F	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted480;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted722;size=2	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted9225;size=1	Other phage	Other phage	uncultured marine virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted9127;size=1	Other phage	Other phage	uncultured virus	NA	Bacteriophage	No host predicted
contigs_cluasted8874;size=1	Other phage	Other phage	uncultured marine virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1312;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted787;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted453;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted9619;size=1	Other phage	Other phage	uncultured marine virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8774;size=1	Other phage	Other phage	uncultured virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8464;size=1	Other phage	Other phage	uncultured virus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted352;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Sutterellaceae
contigs_cluasted289;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted210;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1016;size=2	Other phage	Other phage	Caudovirales sp. ct0YK8	DNA virus	Bacteriophage	No host predicted
contigs_cluasted100000235;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted2461;size=8	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted5234;size=2	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted442;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted2477;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted6830;size=2	Polyomaviridae	Betapolyomavirus	Betapolyomavirus secuhominis	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted4837;size=1	Papillomaviridae	NA	Human papillomavirus	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted8450;size=1	Anelloviridae	Betatorquevirus	TTV-like mini virus	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted8623;size=1	Anelloviridae	NA	Torque teno midi virus	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted8452;size=2	Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted8634;size=1	Genomoviridae	NA	Genomoviridae sp.	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted8414;size=1	Circoviridae	NA	Human respiratory circovirus-like 2	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted8561;size=3	Genomoviridae	CRESS virus	crane CRESS-DNA virus	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted8413;size=1	Anelloviridae	Betatorquevirus	TTV-like mini virus	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted1000001065;size=1	Genomoviridae	Gemycircularvirus	Raccoon dog stool-associated gemycircularvirus 1	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted8518;size=1	Genomoviridae	CRESS virus	crane CRESS-DNA virus	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted8979;size=1	Anelloviridae	NA	Torque teno midi virus	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted8995;size=1	Circoviridae	NA	Human respiratory circovirus-like 1	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted9109;size=1	Genomoviridae	CRESS virus	crane CRESS-DNA virus	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted9023;size=1	Genomoviridae	CRESS virus	crane CRESS-DNA virus	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted8673;size=1	Genomoviridae	NA	Chicken genomovirus mg4_1196	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted9423;size=1	Genomoviridae	Gemykrogvirus	Gemykrogvirus galga2	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted9134;size=1	Circoviridae	Circovirus	Duck circovirus	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted8744;size=1	Circoviridae	Circovirus	Duck circovirus	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted8447;size=1	Circoviridae	Circovirus	Duck circovirus	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted9678;size=1	Genomoviridae	CRESS virus	crane CRESS-DNA virus	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted9729;size=1	Genomoviridae	CRESS virus	crane CRESS-DNA virus	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted1000001666;size=1	Circoviridae	Circovirus	Duck circovirus	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted8638;size=1	Genomoviridae	NA	Genomoviridae sp.	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted8984;size=1	Circoviridae	NA	Circoviridae sp.	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted10016;size=1	Circoviridae	NA	Circoviridae sp.	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted10218;size=1	Circoviridae	NA	Circoviridae sp.	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted56;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted195;size=5	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted10000010;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted85;size=3	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted174;size=8	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted153;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted280;size=6	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted1000006;size=4	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted134;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted225;size=4	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Corynebacteriaceae
contigs_cluasted457;size=10	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted464;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted215;size=3	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted190;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted635;size=17	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted235;size=2	Myoviridae	NA	Phage FAKO05_000032F	DNA virus	Bacteriophage	No host predicted
contigs_cluasted459;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted167;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted26;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted36;size=8	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Xanthomonadaceae
contigs_cluasted687;size=4	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Barnesiellaceae
contigs_cluasted666;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Akkermansiaceae
contigs_cluasted509;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted417;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted145;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted105;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted25;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted334;size=7	Siphoviridae	NA	Bacteroides phage p00	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted382;size=9	Siphoviridae	NA	Bacteroides phage p00	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted128;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted348;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted775;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Clostridiaceae
contigs_cluasted265;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted223;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Corynebacteriaceae
contigs_cluasted10000039;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted158;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
