contigsID	family (ICTV taxonomic)	genus (ICTV taxonomic)	species (ICTV taxonomic)	viral_genome	viral_type	Family level (Host)
contigs_cluasted8323;size=1	Inoviridae	NA	Inoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted8388;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted6420;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted6789;size=2	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted7354;size=1	Microviridae	NA	Gokushovirus WZ-2015a	DNA virus	Bacteriophage	No host predicted
contigs_cluasted5736;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted748;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted5321;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted6626;size=1	Microviridae	NA	Gokushovirus WZ-2015a	DNA virus	Bacteriophage	No host predicted
contigs_cluasted6762;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted6568;size=2	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted6501;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted8306;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted3727;size=1	Inoviridae	NA	Inoviridae sp.	DNA virus	Bacteriophage	Neisseriaceae
contigs_cluasted100000532;size=1	Inoviridae	NA	Inoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted6657;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted1277;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Oscillospiraceae
contigs_cluasted5458;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Sutterellaceae
contigs_cluasted5797;size=2	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted5791;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted6752;size=2	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted6164;size=1	Microviridae	NA	Gokushovirus WZ-2015a	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1214;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted3064;size=1	Inoviridae	NA	Inoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted7607;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Sutterellaceae
contigs_cluasted6131;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted100000334;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8379;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Acidaminococcaceae
contigs_cluasted6786;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted5793;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Rikenellaceae
contigs_cluasted8195;size=1	Microviridae	NA	Microvirus sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted6054;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted7044;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Sutterellaceae
contigs_cluasted6426;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted5704;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted5270;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted6161;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted7549;size=1	Microviridae	NA	Microvirus sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted3298;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Rikenellaceae
contigs_cluasted6311;size=1	Microviridae	NA	Gokushovirus WZ-2015a	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted8370;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
